arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total
flat,single,0,off,0,93,2.093737293428974,36,0.9521644711494446,0.949999988079071,1,2.093737293428974,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,94,-3.877417713795407,300,0.9154521226882935,0.679077684879303,0,-3.877417713795407,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,95,2.20283641637396,28,0.9513947367668152,0.949999988079071,1,2.20283641637396,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,96,-4.321818266238538,300,0.9418219923973083,0.8994263410568237,0,-4.321818266238538,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,97,-3.8926381509649075,300,0.891888439655304,0.7212695479393005,0,-3.8926381509649075,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,98,-3.782172551409881,300,0.9200679063796997,0.8391033411026001,0,-3.782172551409881,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,99,2.229580463062157,30,0.9516475796699524,0.949999988079071,1,2.229580463062157,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,100,-4.305155149885046,300,0.7762013077735901,0.31566357612609863,0,-4.305155149885046,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,101,-3.872478672615383,300,0.8574594855308533,0.3205227255821228,0,-3.872478672615383,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,102,-4.114478232305541,300,0.8481503129005432,0.3205227255821228,0,-4.114478232305541,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,103,-4.0009199224754255,300,0.8591087460517883,0.3205227255821228,0,-4.0009199224754255,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,104,-3.6043335117807,300,0.9507936835289001,0.9259121417999268,0,-3.6043335117807,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,105,-3.6612711003312017,300,0.9495251774787903,0.9259121417999268,0,-3.6612711003312017,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,106,0.5525452943491671,108,0.952560544013977,0.949999988079071,1,0.5525452943491671,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,107,1.6214525679967475,60,0.9526210427284241,0.949999988079071,1,1.6214525679967475,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,108,-3.973717252002992,300,0.873311460018158,0.43545830249786377,0,-3.973717252002992,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,109,-4.008754894722354,300,0.8411074876785278,0.262719988822937,0,-4.008754894722354,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,110,-4.066367950807017,300,0.8567209243774414,0.37379375100135803,0,-4.066367950807017,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,111,1.1476219058271955,77,0.9552255272865295,0.949999988079071,1,1.1476219058271955,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,112,-3.582802624482554,300,0.9480908513069153,0.8964276313781738,0,-3.582802624482554,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,113,-3.7576254286322954,300,0.9463456273078918,0.930142343044281,0,-3.7576254286322954,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,114,1.1201663783262474,80,0.9508456587791443,0.949999988079071,1,1.1201663783262474,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,115,-4.036287869748762,300,0.8729749917984009,0.4459727704524994,0,-4.036287869748762,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,116,-3.9377823924682014,300,0.9215908050537109,0.7347531914710999,0,-3.9377823924682014,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,117,-3.678914947123833,300,0.9318188428878784,0.8912369012832642,0,-3.678914947123833,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,118,-3.538110278290682,300,0.9515718221664429,0.9400013089179993,0,-3.538110278290682,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,119,-3.792059720556413,300,0.8769396543502808,0.5063267946243286,0,-3.792059720556413,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
