episode,reward,steps,mastery
270,4.193743938357511,72,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
271,3.9523803168864102,41,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
272,4.001839769208163,79,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
273,3.8248970155473216,104,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
274,4.222587788512465,76,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
275,3.9432790497521637,141,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
276,3.9749668168370587,207,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
277,0.9890903193234408,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
278,1.065845023449947,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
279,0.8351430978415011,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
280,1.0898602259796464,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
281,0.962412739199499,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
282,1.0689086105099705,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
283,1.072942226966552,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
284,4.106152392634977,109,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
285,1.1067807440354955,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
286,4.037562658397656,93,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
287,4.20231585229485,135,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
288,4.029407593523501,143,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
289,3.9407313937204886,124,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
290,4.086900201234675,82,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
291,0.9762138321973909,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
292,0.9640811011919141,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
293,3.8979540925720357,92,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
294,0.9988550124253379,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
295,4.0556728427758575,270,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
296,4.23818811669189,84,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
297,4.146020633546868,41,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
298,4.013679562033213,261,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
299,1.0414583054880497,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
300,4.103107692867344,115,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
301,3.9177795603623964,175,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
302,3.941506739722172,143,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
303,0.8878176350408467,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
304,3.924981141157332,61,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
305,4.074558372926549,237,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
306,3.927673183141451,69,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
307,3.777505545398162,202,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
308,3.6355697395716557,239,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
309,3.892115558397199,236,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
310,1.0724654185047258,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
311,0.8658790619418143,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
312,4.084016129776137,149,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
313,4.144818736737943,61,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
314,0.9637963412882529,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
315,4.140031276419177,66,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
