PYTHON EXE: D:\Uni shit\Thesis\Code_New\.venv\Scripts\python.exe
torch: 2.9.1+cu126
torch cuda build: 12.6
cuda available: True
=== Training hierarchical RL tutor ===
- Number of topics: 8
- Tutee enabled:   True
         1211811 function calls (1195335 primitive calls) in 2.906 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.001    0.000    0.001    0.000 _utils.py:989(_dummy_type)
      754    0.001    0.000    0.001    0.000 dataclasses.py:448(_field_init)
      986    0.001    0.000    0.004    0.000 _builtins.py:159(_get_builtin_table)
       11    0.001    0.000    0.002    0.000 __init__.py:787(children)
     2280    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
      989    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
      745    0.001    0.000    0.001    0.000 dataclasses.py:367(field)
      135    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        1    0.001    0.001    0.001    0.001 _linalg_utils.py:1(<module>)
      616    0.001    0.000    0.001    0.000 {method 'items' of 'mappingproxy' objects}
    85/42    0.001    0.000    0.004    0.000 typing.py:1046(__getitem__)
     7258    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
      968    0.001    0.000    0.001    0.000 _virtualenv.py:53(find_spec)
     1175    0.001    0.000    0.002    0.000 _pytree.py:1008(_get_node_type)
     1192    0.001    0.000    0.001    0.000 {built-in method torch._C._add_docstr}
      135    0.001    0.000    0.001    0.000 typing.py:801(__init__)
     1673    0.001    0.000    0.001    0.000 typing.py:1242(__eq__)
     1049    0.001    0.000    0.002    0.000 _pytree.py:1020(tree_is_leaf)
      921    0.001    0.000    0.001    0.000 typing.py:916(args)
      226    0.001    0.000    0.001    0.000 functools.py:961(__get__)
     1873    0.001    0.000    0.001    0.000 wrappers.py:390(<lambda>)
     1215    0.001    0.000    0.001    0.000 inspect.py:632(_is_wrapper)
     3806    0.001    0.000    0.001    0.000 {built-in method builtins.id}
        1    0.001    0.001    0.001    0.001 mock.py:1(<module>)
        7    0.001    0.000    0.001    0.000 {built-in method _winapi.WaitForSingleObject}
      135    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      745    0.001    0.000    0.001    0.000 dataclasses.py:286(__init__)
      230    0.001    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
      311    0.001    0.000    0.002    0.000 function_base.py:487(add_newdoc)
     1406    0.001    0.000    0.001    0.000 inspect.py:1058(tokeneater)
      113    0.001    0.000    0.001    0.000 utils.py:289(has_kwarg_only_args)
        6    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
      157    0.001    0.000    0.007    0.000 typing.py:1208(__getitem_inner__)
      267    0.001    0.000    0.022    0.000 _meta_registrations.py:55(wrapper)
      921    0.001    0.000    0.001    0.000 typing.py:920(kwargs)
      130    0.001    0.000    0.035    0.000 traceback.py:216(extract_stack)
      989    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:165(__init__)
      901    0.000    0.000    0.001    0.000 enum.py:22(_is_dunder)
        5    0.000    0.000    0.455    0.091 functional.py:1(<module>)
        2    0.000    0.000    0.004    0.002 _config_module.py:239(get_assignments_with_compile_ignored_comments)
      207    0.000    0.000    0.000    0.000 __init__.py:352(<genexpr>)
      911    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
     1793    0.000    0.000    0.001    0.000 sre_parse.py:250(match)
       61    0.000    0.000    0.039    0.001 typing_extensions.py:2942(__call__)
      949    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
      899    0.000    0.000    0.001    0.000 enum.py:33(_is_sunder)
      233    0.000    0.000    0.006    0.000 abc.py:105(__new__)
  172/158    0.000    0.000    0.001    0.000 fake_impls.py:116(contains_tensor_types)
      452    0.000    0.000    0.008    0.000 traceback.py:301(line)
     1948    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1304    0.000    0.000    0.001    0.000 sre_parse.py:173(append)
      116    0.000    0.000    0.001    0.000 typing.py:1350(__init_subclass__)
     1606    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
   301/74    0.000    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
       82    0.000    0.000    0.004    0.000 typing.py:1323(__class_getitem__)
      944    0.000    0.000    0.001    0.000 wrappers.py:285(<genexpr>)
      259    0.000    0.000    0.000    0.000 _ops.py:370(fallthrough)
 1026/882    0.000    0.000    0.001    0.000 typing.py:1037(__hash__)
      460    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
      135    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
     2176    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
     1797    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       84    0.000    0.000    0.029    0.000 sre_compile.py:783(compile)
        1    0.000    0.000    0.000    0.000 shape_prop.py:91(ShapeProp)
      116    0.000    0.000    0.001    0.000 weakref.py:165(__setitem__)
      476    0.000    0.000    0.010    0.000 linecache.py:36(getlines)
     3329    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      142    0.000    0.000    0.008    0.000 wrappers.py:121(__call__)
      113    0.000    0.000    0.006    0.000 custom_ops.py:334(inner)
      618    0.000    0.000    0.000    0.000 dataclasses.py:409(<listcomp>)
